"[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]",1
"[PX4;$([H1]),$([H0][#6])](=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]",1
"[PX4D4](=[OX1])([OX2][#6;!$(C=[O,N,S])])([OX2][#6;!$(C=[O,N,S])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]",1
"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[OX2][#6;!$(C=[O,N,S])]",1
"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[!#6])[!#6]",1
[SiX4]([#6])([#6])([#6])[#6],1
[SiX4]([!#6])([#6])([#6])[#6],1
[CX3]=[CX2]=[CX3],0
"[NX4H0+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]",0
"[OX2H][CX4;!$(C([OX2H])([OX2H])[O,S,#7,#15])][OX2H]",0
"[LiX1][#6,#14]",0
"[MgX2][#6,#14]",0
[!#1;!#5;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#33;!#34;!#35;!#52;!#53;!#85]~[#6;!-],0
"[$([CX3H][#6]),$([CX3H2])]=[SX1]",0
[#6][CX3](=[SX1])[#6],0
"[SX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(S)(S)[!#6])][OX2H]",0
"[NX1]#[CX2][CX4;$([CH2]),$([CH]([CX2])[#6]),$(C([CX2])([#6])[#6])][OX2H]",0
[FX1][CX3]=[CX3],0
[IX1][CX3]=[CX3],0
"[SX2H][CX3;$([H1]),$(C[#6])]=[CX3]",0
"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[ClX1]",0
"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1]",0
"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[BrX1]",0
"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[IX1]",0
"[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1,ClX1,BrX1,IX1]",0
"[CX3;!R;$([C][#6]),$([CH]);$([C](=[OX1])[$([SX2H]),$([SX1-])]),$([C](=[SX1])[$([OX2H]),$([OX1-])])]",0
"[CX3;$([H0][#6]),$([H1])](=[SX1])[OX2][#6;!$(C=[O,N,S])]",0
"[#6][#6X3R](=[SX1])[#8X2][#6;!$(C=[O,N,S])]",0
"[CX3;$([H0][#6]),$([H1])](=[SX1])[FX1,ClX1,BrX1,IX1]",0
"[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2H])]",0
"[CX3;!R;$([C][#6]),$([CH]);$([C](=[SX1])[SX2][#6;!$(C=[O,N,S])])]",0
"[#6][#6X3R](=[SX1])[#16X2][#6;!$(C=[O,N,S])]",0
"[#6X3;$([H0][#6]),$([H1])](=[OX1])[#7X3H1][#6X3;$([H0][#6]),$([H1])](=[OX1])",0
"[$([CX3;!R][#6]),$([CX3H;!R])](=[SX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]",0
"[#6R][#6X3R](=[SX1])[#7X3;$([H1][#6;!$(C=[O,N,S])]),$([H0]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]",0
"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[OX2][#6;!$(C=[O,N,S])]",0
"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[SX2][#6;!$(C=[O,N,S])]",0
"[CX3R0;$([H0][#6]),$([H1])](=[NX2;$([H1]),$([H0][#6;!$(C=[O,N,S])])])[FX1,ClX1,BrX1,IX1]",0
"[#6][OX2][CX4;$(C[#6]),$([CH])]([OX2][#6])[OX2][#6]",0
[CX3]=[CX2]=[OX1],0
"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[OX2][FX1,ClX1,BrX1,IX1]",0
"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[OX1])[$([OX2H]),$([OX1-])]",0
"[#6;!$(C=[O,N,S])][#8X2][#6X3](=[SX1])[#8X2][#6;!$(C=[O,N,S])]",0
"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[OX2][FX1,ClX1,BrX1,IX1]",0
"[#6;!$(C=[O,N,S])][OX2;!R][CX3](=[SX1])[$([OX2H]),$([OX1-])]",0
"[NX3]C(=[OX1])[O;X2H,X1-]",0
[#7X3][#6](=[OX1])[#7X3][#6](=[OX1])[#7X3],0
[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1],0
[#7X3][#7X3][#6X3]([#7X3][#7X3])=[OX1],0
[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[OX1],0
[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[OX1],0
[#7X3][#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1],0
[#7X3][#7X3][#6X3]([#7X3][#7X3])=[SX1],0
[#7X2](=[#6])[#7X3][#6X3]([#7X3;!$([#7][#7])])=[SX1],0
[#7X2](=[#6])[#7X3][#6X3]([#7X3][#7X3])=[SX1],0
[OX2][CX2]#[NX1],0
[SX2][CX2]#[NX1],0
[NX2]=[CX2]=[NX2],0
"[CX4H0]([O,S,#7])([O,S,#7])([O,S,#7])[O,S,#7,F,Cl,Br,I]",0
"[NX2](=[OX1])[O;$([X2]),$([X1-])]",0
[SX2][NX2]=[OX1],0
[CX3](=[OX1])[NX2]~[NX2]~[NX1],0
"[$([#6]=[NX2+]=[NX1-]),$([#6-]-[NX2+]#[NX1])]",0
[#6][NX2+]#[NX1],0
[#7;!$(N*=O)][NX2]=[OX1],0
"[SX4](=[OX1])(=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]",0
"[SX4](=[OX1])(=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]",0
"[SX3;$([H1]),$([H0][#6])](=[OX1])[$([OX2H]),$([OX1-])]",0
"[SX3;$([H1]),$([H0][#6])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]",0
"[SX3;$([H1]),$([H0][#6])](=[OX1])[OX2][#6;!$(C=[O,N,S])]",0
"[SX3;$([H1]),$([H0][#6])](=[OX1])[FX1,ClX1,BrX1,IX1]",0
"[SX3;$([H1]),$([H0][#6])](=[!#6])[!#6]",0
"[SX2;$([H1]),$([H0][#6])][$([OX2H]),$([OX1-])]",0
"[SX2;$([H1]),$([H0][#6])][OX2][#6;!$(C=[O,N,S])]",0
"[SX2;$([H1]),$([H0][#6])][FX1,ClX1,BrX1,IX1]",0
"[PX3;$([H3]),$([H2][#6]),$([H1]([#6])[#6]),$([H0]([#6])([#6])[#6])]",0
"[P+;!$([P]~[!#6]);!$([P]*~[#7,#8,#15,#16])]",0
"[PX4;$([H3]=[CX3]),$([H2](=[CX3])[#6]),$([H1](=[CX3])([#6])[#6]),$([H0](=[CX3])([#6])([#6])[#6])]",0
"[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]",0
